sample_id,candidate_tag,no_keyword_flag,question,options_text,answer_idx,answer,meta_info,source_file,parametric_prior_disease_query,patient_profile_json,gold_admissible_set_json,gold_per_action_status_json,gold_scsr_needed,gold_scsr_query,gold_memory_conflict_label,reviewer,notes
MACB-001,SC_ABSOLUTE_CAND,true,"A 32-year-old female is brought to the emergency room by her friend for acute onset abdominal pain. She states that she was in a kickboxing class when she suddenly developed left-sided abdominal pain. Her past medical history is significant for chlamydia. She is currently sexually active and does not use contraception. Her menstrual periods occur regularly every 30 days. Her last menstrual period ended 2 days ago. The patient’s temperature is 99°F (37.2°C), blood pressure is 110/68 mmHg, pulse is 88/min, and respirations are 14/min with an oxygen saturation of 98% on room air. On physical exam, there is left-sided, lower abdominal tenderness and guarding. Pelvic examination is notable for clear mucous in the vaginal introitus and tenderness of the left adnexa. A pelvic ultrasound with Doppler reveals a large amount of fluid in the rectouterine pouch. Which of the following is the most likely diagnosis?",A: Ectopic pregnancy | B: Mittelschmerz | C: Ovarian torsion | D: Pelvic inflammatory disease | E: Ruptured ovarian cyst,E,Ruptured ovarian cyst,step2&3,data_clean/questions/US/test.jsonl,"What is the standard treatment for a 32-year-old female presenting with acute onset left-sided abdominal pain, left adnexal tenderness, and pelvic fluid on ultrasound?","{""allergies"": [], ""pregnancy"": null, ""renal_impairment"": null, ""hepatic_impairment"": null, ""age_years"": 32, ""other_constraints"": [""history of chlamydia"", ""sexually active, no contraception"", ""LMP 2 days ago (early follicular phase)""]}",[],"{""A"": ""NOT_APPLICABLE"", ""B"": ""NOT_APPLICABLE"", ""C"": ""NOT_APPLICABLE"", ""D"": ""NOT_APPLICABLE"", ""E"": ""NOT_APPLICABLE""}",false,,NOT_APPLICABLE,auto:MiniMax-M2.5,"This is a diagnostic question asking for the most likely diagnosis. All options are potential diagnoses, not treatments. The presentation of sudden-onset left-sided abdominal pain during physical activity with free fluid in the rectouterine pouch is most consistent with a ruptured ovarian cyst (the correct answer)."
MACB-002,SC_ABSOLUTE_CAND,false,"A 41-year-old G3P1 woman presents with a sudden onset throbbing headache, tinnitus, nausea, and left-sided weakness. Patient has no significant past medical history and takes no medications.  Her last two pregnancies ended with spontaneous abortions before the 10th week of gestation. No significant family history. Her vital signs include: blood pressure 130/90 mm Hg, pulse 58/min, respiratory rate 11/min, and temperature 36.8℃ (98.2℉). GCS is 14/15. Physical examination shows 3+ deep tendon reflexes and increased muscle tone in the left upper and lower extremities. Laboratory findings are significant for the following:
Platelet count 230,000/mm3
Fibrinogen 3.5 g/L
Activated partial thromboplastin time  70 s
Thrombin time 34 s
 A non-contrast CT of the head is performed and shown in the picture. Which of the following would be the next best diagnostic step in this patient?",A: Mixing study | B: INR | C: D-dimer | D: Ristocetin-induced platelet aggregation test | E: Clot retraction study,A,Mixing study,step1,data_clean/questions/US/test.jsonl,What is the standard treatment for antiphospholipid syndrome?,"{""allergies"": [], ""pregnancy"": false, ""renal_impairment"": null, ""hepatic_impairment"": null, ""age_years"": 41, ""other_constraints"": [""history of two spontaneous abortions (first trimester)"", ""bradycardia (pulse 58)"", ""neurological deficits (left-sided weakness, GCS 14)""]}",[],"{""A"": ""NOT_APPLICABLE"", ""B"": ""NOT_APPLICABLE"", ""C"": ""NOT_APPLICABLE"", ""D"": ""NOT_APPLICABLE"", ""E"": ""NOT_APPLICABLE""}",false,,NOT_APPLICABLE,auto:MiniMax-M2.5,"This is a diagnostic question about interpreting a prolonged aPTT with normal platelet count and fibrinogen. The mixing study is used to differentiate factor deficiency from lupus anticoagulant inhibitor. The LLM prior discusses APS treatment, but the question asks for the next diagnostic step, not treatment, making the prior not directly applicable."
MACB-003,SC_ABSOLUTE_CAND,false,"A 9-month-old boy is brought to his pediatrician by his mother for a routine health checkup. The boy was born at 39 weeks gestation via spontaneous vaginal delivery. He is up to date on all vaccines and is meeting all developmental milestones. He was breastfed for the first 3 months and then switched to cow’s milk and about two months ago she started giving him fruits and vegetables. Family history is noncontributory. Today, his heart rate is 120/min, respiratory rate is 40/min, blood pressure is 90/50 mm Hg, and temperature of 37.0°C (98.6°F). On examination, he has a heartbeat with a regular rate and rhythm and his lungs are clear to auscultation bilaterally. Generally, the boy looks pale. His weight and height fall within the expected range. A complete blood count (CBC) shows the following:
Hemoglobin (Hb): 9.1 g/dL
Mean corpuscular volume (MCV): 65 fL
Total iron binding capacity (TIBC): 550 μg/dL
Serum iron: 45 µg/dL
Serum lead: < 5 µg/dL
What is the best treatment for this patient?",A: Iron supplementation only | B: Proper diet and iron supplementation | C: Multivitamins | D: Proper diet only | E: Lead chelation therapy,B,Proper diet and iron supplementation,step1,data_clean/questions/US/test.jsonl,What is the standard first‑line treatment for iron deficiency anemia?,"{""allergies"": [], ""pregnancy"": false, ""renal_impairment"": null, ""hepatic_impairment"": null, ""age_years"": 0.75, ""other_constraints"": [""9-month-old infant (age-specific dosing required)"", ""Switched from breast milk to cow's milk at 3 months"", ""Started complementary foods only 2 months ago""]}","[""A"", ""B"", ""D""]","{""A"": ""ADMISSIBLE"", ""B"": ""ADMISSIBLE"", ""C"": ""NOT_APPLICABLE"", ""D"": ""ADMISSIBLE"", ""E"": ""INADMISSIBLE_ABS""}",false,,NO_CONFLICT,auto:MiniMax-M2.5,"Patient has microcytic hypochromic anemia (low Hb, low MCV, high TIBC, low serum iron) consistent with iron deficiency, likely due to early transition to cow's milk and delayed iron-rich solids. Lead poisoning is ruled out by normal lead level. Standard oral iron supplementation is first-line treatment; lead chelation is contraindicated since lead is normal."
MACB-004,SC_ABSOLUTE_CAND,false,"A 27-year-old woman, gravida 1, para 0, at 38 weeks' gestation is admitted to the hospital for active labor. The pregnancy was complicated by gestational diabetes and fetal weight is estimated to be at the 90th percentile for gestational age. During delivery, there is an arrest in the second stage of labor, and a vacuum-assisted delivery is performed. Postpartum examination shows a third-degree laceration in the vagina extending into the perineum at the 6 o'clock position. This patient is most likely to experience which of the following complications?",A: Urge incontinence | B: Vesicovaginal fistula | C: Fecal incontinence | D: Small bowel obstruction | E: Stress incontinence,C,Fecal incontinence,step1,data_clean/questions/US/test.jsonl,What is the standard treatment for a third-degree perineal laceration sustained during delivery?,"{""allergies"": [], ""pregnancy"": true, ""renal_impairment"": null, ""hepatic_impairment"": null, ""age_years"": 27, ""other_constraints"": [""gestational diabetes"", ""fetal weight at 90th percentile (large for gestational age)"", ""vacuum-assisted delivery"", ""third-degree perineal laceration involving anal sphincter""]}",[],"{""A"": ""NOT_APPLICABLE"", ""B"": ""NOT_APPLICABLE"", ""C"": ""NOT_APPLICABLE"", ""D"": ""NOT_APPLICABLE"", ""E"": ""NOT_APPLICABLE""}",false,,NOT_APPLICABLE,auto:MiniMax-M2.5,"This is a prognosis question about complications from a third-degree perineal laceration (involving the anal sphincter). Fecal incontinence is the most likely complication because damage to the external and/or internal anal sphincter muscle leads to loss of bowel control. The other options (urge incontinence, stress incontinence, vesicovaginal fistula, small bowel obstruction) are not directly associated with third-degree perineal tears. Since this is not a treatment question, all treatment-based classifications are NOT_APPLICABLE."
MACB-005,SC_ABSOLUTE_CAND,false,"A 29-year-old G4P0 woman presents following a spontaneous pregnancy loss in the 18th week of her pregnancy. This is her fourth loss in the second trimester and she is concerned about her inability to have a successful pregnancy. She is otherwise healthy and has no acute complaints. Her vitals are unremarkable and exam is notable only for a firm, asymmetric uterus. Laboratory studies are ordered as seen below.

Hemoglobin: 9.0 g/dL
Hematocrit: 30%
Leukocyte count: 6,800/mm^3 with normal differential
Platelet count: 199,000/mm^3

Serum:
Na+: 139 mEq/L
Cl-: 100 mEq/L
K+: 4.3 mEq/L
HCO3-: 25 mEq/L
BUN: 20 mg/dL
Glucose: 99 mg/dL
Creatinine: 1.1 mg/dL

Which of the following tests is most likely to elucidate the cause of this patient's pregnancy losses?",A: Anti-cardiolipin antibodies | B: Karotyping | C: Hysterosalpingogram | D: Prolactin level | E: TSH level,C,Hysterosalpingogram,step2&3,data_clean/questions/US/test.jsonl,What is the standard treatment for recurrent second-trimester pregnancy loss?,"{""allergies"": [], ""pregnancy"": false, ""renal_impairment"": null, ""hepatic_impairment"": null, ""age_years"": 29, ""other_constraints"": []}",[],"{""A"": ""NOT_APPLICABLE"", ""B"": ""NOT_APPLICABLE"", ""C"": ""NOT_APPLICABLE"", ""D"": ""NOT_APPLICABLE"", ""E"": ""NOT_APPLICABLE""}",false,,NOT_APPLICABLE,auto:MiniMax-M2.5,"The key clinical clue is the firm, asymmetric uterus, suggesting a uterine structural anomaly (e.g., septate or bicornuate uterus), which is a known cause of recurrent second-trimester losses; hysterosalpingogram is the appropriate diagnostic test to visualize uterine anatomy."
MACB-006,SC_ABSOLUTE_CAND,false,"A 29-year-old female presents to her primary care provider with an aching pain in her left leg that has progressively gotten worse over several days. She recently had an unfortunate sporting incident resulting in large bruises along both legs and lower thighs. An X-ray after the event was negative for fracture. Past medical history is positive for systemic lupus erythematosus. She also has a history of one spontaneous abortion at 12 weeks gestation. Today, her heart rate is 90/min, respiratory rate is 17/min, blood pressure is 119/80 mm Hg, and temperature is 37.0°C (98.6°F). On physical examination, her left leg appears pink and slightly swollen. Homan’s sign is positive. A Doppler ultrasound reveals a thrombus in the left popliteal vein. Her lab results are as follows:
Platelets 250,000/mm3
Prothrombin Time 14 sec
Partial Thromboplastin Time 90 sec
Mixing study (PTT) 89 sec
What is the most likely cause of the patient’s condition?",A: Antibodies directed against platelet glycoprotein IIb/IIIa | B: Antibodies directed against phospholipids | C: Antibodies directed against endothelial cells | D: Vitamin K deficiency | E: Disseminated intravascular coagulation,B,Antibodies directed against phospholipids,step1,data_clean/questions/US/test.jsonl,What is the standard treatment for deep vein thrombosis (DVT)?,"{""allergies"": [], ""pregnancy"": false, ""renal_impairment"": null, ""hepatic_impairment"": null, ""age_years"": 29, ""other_constraints"": [""History of systemic lupus erythematosus"", ""History of spontaneous abortion at 12 weeks gestation"", ""Diagnosis of antiphospholipid syndrome suspected""]}",[],"{""A"": ""NOT_APPLICABLE"", ""B"": ""NOT_APPLICABLE"", ""C"": ""NOT_APPLICABLE"", ""D"": ""NOT_APPLICABLE"", ""E"": ""NOT_APPLICABLE""}",false,,NOT_APPLICABLE,auto:MiniMax-M2.5,"This question asks for the etiology of the DVT (antiphospholipid antibodies), not treatment. The prolonged PTT that does not correct with mixing study, combined with history of SLE and miscarriage, confirms antiphospholipid syndrome caused by antibodies against phospholipids."
MACB-007,SC_ABSOLUTE_CAND,false,"A male newborn is evaluated 24 hours after delivery for high-pitched crying, poor feeding, rhinorrhea, and low-grade fever. He was born at 40 weeks' gestation at 2514 g (5.54 lb) to a 28-year-old woman, gravida 3, para 2, by an uncomplicated cesarean section. Apgar scores were 8 and 9 at 1 and 5 minutes, respectively. The mother did not receive prenatal care. The infant's temperature is 38.0°C (100.4°F), pulse is 170/min, and blood pressure is 71/39 mm Hg. Examination shows hyperreflexia, tremors, and an excessive startle response. These symptoms are mostly like due to maternal use of which of the following?",A: GABAA receptor agonist | B: Mu receptor agonist | C: Nicotinic acetylcholine receptor agonist | D: Monoamine reuptake antagonist | E: Thyroperoxidase inhibitor,B,Mu receptor agonist,step1,data_clean/questions/US/test.jsonl,What is the first-line pharmacologic treatment for neonatal abstinence syndrome in a newborn?,"{""allergies"": [], ""pregnancy"": false, ""renal_impairment"": null, ""hepatic_impairment"": null, ""age_years"": 0, ""other_constraints"": [""newborn patient - 24 hours old"", ""symptoms of neonatal abstinence syndrome - hyperreflexia, tremors, excessive startle, poor feeding, rhinorrhea, fever""]}",[],"{""A"": ""NOT_APPLICABLE"", ""B"": ""NOT_APPLICABLE"", ""C"": ""NOT_APPLICABLE"", ""D"": ""NOT_APPLICABLE"", ""E"": ""NOT_APPLICABLE""}",false,,NOT_APPLICABLE,auto:MiniMax-M2.5,"This is a diagnostic question asking for the etiology (maternal drug use causing neonatal abstinence syndrome), not a treatment question. The mu receptor agonist refers to opioid drugs (e.g., heroin, morphine) that cause withdrawal symptoms in the newborn. All options represent drug classes, but the question asks which class the mother used as the cause, not as treatment to give."
MACB-008,SC_ABSOLUTE_CAND,false,"A 46-year-old woman comes to the physician because of a 3-day history of diarrhea, moderate abdominal pain, and weakness. Her symptoms began on the return flight from a 2-week yoga retreat in India, where she stayed at a resort. She was mildly nauseous as she boarded the flight, and diarrhea followed immediately after eating the in-flight meal. Since then, she has had up to five watery stools daily. She has a 1-year history of gastroesophageal reflux disease and is allergic to shellfish. Her only medication is ranitidine. She appears lethargic. Her temperature is 37°C (98.6°F), pulse is 70/min, and blood pressure is 115/72 mm Hg. Abdominal examination shows diffuse tenderness with no guarding or rebound. Bowel sounds are hyperactive. Which of the following is the most likely pathogen?",A: Giardia intestinalis | B: Shigella species | C: Staphylococcus aureus | D: Enteroinvasive Escherichia coli | E: Enterotoxigenic Escherichia coli,E,Enterotoxigenic Escherichia coli,step2&3,data_clean/questions/US/test.jsonl,What is the standard treatment for traveler's diarrhea in an otherwise healthy adult?,"{""allergies"": [""shellfish""], ""pregnancy"": false, ""renal_impairment"": null, ""hepatic_impairment"": null, ""age_years"": 46, ""other_constraints"": [""on ranitidine for GERD""]}",[],"{""A"": ""NOT_APPLICABLE"", ""B"": ""NOT_APPLICABLE"", ""C"": ""NOT_APPLICABLE"", ""D"": ""NOT_APPLICABLE"", ""E"": ""NOT_APPLICABLE""}",false,,NOT_APPLICABLE,auto:MiniMax-M2.5,"This is a diagnostic question asking for the causative pathogen, not a treatment. Enterotoxigenic E. coli is the classic cause of traveler's diarrhea with watery stools, short incubation after contaminated food, and is the most common pathogen acquired in India."
MACB-009,SC_ABSOLUTE_CAND,false,"A 3-week-old infant presents to the emergency department with thick white discharge from his eyes that has persisted for the past 24 hours. The patient's birth was not complicated, and he was born at home vaginally with a mid-wife supervising the birth. The patient has a documented allergy to penicillin which caused anaphylaxis after it was given secondary to a maternal syphilis infection. His temperature is 97.6°F (36.4°C), blood pressure is 75/40 mm Hg, pulse is 130/min, respiratory rate is 24/min, and oxygen saturation is 98% on room air. The patient is currently sleeping. Physical exam is notable for bilateral purulent drainage from the eyes. Which of the following is a complication associated with the best treatment for this patient?",A: Damage to the lacrimal ducts | B: Non-bilious projectile vomiting | C: Optimal therapy has no known side-effects | D: Possible anaphylaxis and urticaria | E: Sedation and increased sleepiness,B,Non-bilious projectile vomiting,step2&3,data_clean/questions/US/dev.jsonl,"What is the standard treatment for a 3-week-old infant with purulent eye discharge, and what is a complication of this treatment?","{""allergies"": [""penicillin (anaphylaxis)""], ""pregnancy"": false, ""renal_impairment"": null, ""hepatic_impairment"": null, ""age_years"": 0.075, ""other_constraints"": [""3-week-old infant"", ""home birth""]}",[],"{""A"": ""NOT_APPLICABLE"", ""B"": ""NOT_APPLICABLE"", ""C"": ""NOT_APPLICABLE"", ""D"": ""NOT_APPLICABLE"", ""E"": ""NOT_APPLICABLE""}",false,,NOT_APPLICABLE,auto:MiniMax-M2.5,"This is a PROGNOSIS question asking about complications of the best treatment. The patient has neonatal conjunctivitis at 3 weeks, most likely chlamydial (presents 5-14 days). The best treatment is oral erythromycin. A known complication of erythromycin in infants under 6 weeks is hypertrophic pyloric stenosis, presenting as non-bilious projectile vomiting. The penicillin allergy is not directly relevant to the treatment choice since erythromycin (a macrolide) is used for chlamydia."
MACB-010,SC_ABSOLUTE_CAND,true,"A transvaginal ultrasound shows an intrauterine heteroechoic mass with numerous anechoic spaces and no identifiable fetus or amniotic fluid. Both the ovaries are enlarged and have multiple thin-walled, septated cysts with clear content. Which of the following is the most likely cause of the ovarian findings?",A: Chocolate cysts | B: Corpus luteum cysts | C: Yolk sac tumor | D: Luteoma of pregnancy | E: Theca leutein cysts,E,Theca leutein cysts,step2&3,data_clean/questions/US/test.jsonl,What is the standard treatment for molar pregnancy (gestational trophoblastic disease)?,"{""allergies"": [], ""pregnancy"": true, ""renal_impairment"": null, ""hepatic_impairment"": null, ""age_years"": null, ""other_constraints"": []}",[],"{""A"": ""NOT_APPLICABLE"", ""B"": ""NOT_APPLICABLE"", ""C"": ""NOT_APPLICABLE"", ""D"": ""NOT_APPLICABLE"", ""E"": ""NOT_APPLICABLE""}",false,,NOT_APPLICABLE,auto:MiniMax-M2.5,"This is a diagnostic question asking for the cause of bilateral ovarian cysts in the setting of a molar pregnancy (heteroechoic intrauterine mass with anechoic spaces, no fetus). Theca lutein cysts are caused by extreme elevation of hCG in complete molar pregnancy. Since this is not a treatment question, all options are NOT_APPLICABLE."
